piece,released,removed,laidX,laidY,laidZ,finalX,finalY,finalZ,displacementCm,dropCm
4573,0,0,258.750,-11.250,202.500,258.750,-11.250,202.500,0.000,0.000
4574,0,0,258.750,337.500,202.500,258.750,337.500,202.500,0.000,0.000
4575,0,0,258.750,-11.250,210.000,258.750,-11.250,210.000,0.000,0.000
4576,0,0,258.750,337.500,210.000,258.750,337.500,210.000,0.000,0.000
4577,0,0,258.750,-11.250,217.500,258.750,-11.250,217.500,0.000,0.000
4578,0,0,258.750,337.500,217.500,258.750,337.500,217.500,0.000,0.000
4579,0,0,258.750,-11.250,225.000,258.750,-11.250,225.000,0.000,0.000
4580,0,0,258.750,337.500,225.000,258.750,337.500,225.000,0.000,0.000
4581,0,0,258.750,-11.250,232.500,258.750,-11.250,232.500,0.000,0.000
4582,0,0,258.750,337.500,232.500,258.750,337.500,232.500,0.000,0.000
4583,0,0,258.750,-11.250,240.000,258.750,-11.250,240.000,0.000,0.000
4584,0,0,258.750,337.500,240.000,258.750,337.500,240.000,0.000,0.000
4585,0,0,258.750,-11.250,247.500,258.750,-11.250,247.500,0.000,0.000
4586,0,0,258.750,337.500,247.500,258.750,337.500,247.500,0.000,0.000
4587,0,0,258.750,-11.250,255.000,258.750,-11.250,255.000,0.000,0.000
4588,0,0,258.750,337.500,255.000,258.750,337.500,255.000,0.000,0.000
4589,0,0,258.750,-11.250,262.500,258.750,-11.250,262.500,0.000,0.000
4590,0,0,258.750,337.500,262.500,258.750,337.500,262.500,0.000,0.000
4591,0,0,258.750,-11.250,270.000,258.750,-11.250,270.000,0.000,0.000
4592,0,0,258.750,337.500,270.000,258.750,337.500,270.000,0.000,0.000
4593,0,0,258.750,-11.250,277.500,258.750,-11.250,277.500,0.000,0.000
4594,0,1,,,,,,,,
4595,0,0,258.750,-11.250,285.000,258.750,-11.250,285.000,0.000,0.000
4596,1,0,258.750,337.500,285.000,238.450,355.327,-0.493,286.769,285.493
4597,0,0,258.750,-11.250,292.500,258.750,-11.250,292.500,0.000,0.000
4598,1,0,258.750,337.500,292.500,295.840,398.929,6.047,295.304,286.453
4599,0,0,258.750,-11.250,300.000,258.750,-11.250,300.000,0.000,0.000
4600,1,0,258.750,337.500,300.000,275.500,396.920,-0.495,306.771,300.495
4601,0,0,258.750,-11.250,307.500,258.750,-11.250,307.500,0.000,0.000
4602,1,0,258.750,337.500,307.500,265.671,421.958,9.401,309.910,298.099
4603,0,0,258.750,-11.250,315.000,258.750,-11.250,315.000,0.000,0.000
4604,1,0,258.750,337.500,315.000,266.508,449.738,-0.799,335.241,315.799
4605,0,0,258.750,-11.250,322.500,258.750,-11.250,322.500,0.000,0.000
4606,1,0,258.750,337.500,322.500,273.772,348.619,6.008,317.043,316.492
4607,0,0,258.750,-11.250,330.000,258.750,-11.250,330.000,0.000,0.000
4608,1,0,258.750,337.500,330.000,286.121,409.268,-0.478,339.287,330.478
4609,0,0,258.750,-11.250,337.500,258.750,-11.250,337.500,0.000,0.000
4610,1,0,258.750,337.500,337.500,248.429,473.636,18.017,347.432,319.483
4611,0,0,258.750,-11.250,345.000,258.750,-11.250,345.000,0.000,0.000
4612,1,0,258.750,337.500,345.000,255.910,427.492,-0.488,357.027,345.488
4613,0,0,258.750,-11.250,352.500,258.750,-11.250,352.500,0.000,0.000
4614,1,0,258.750,337.500,352.500,252.822,418.329,5.814,356.033,346.686
4615,0,0,258.750,-11.250,360.000,258.750,-11.250,360.000,0.000,0.000
4616,1,0,258.750,337.500,360.000,314.479,578.516,-0.493,437.207,360.493
4617,0,0,258.750,-11.250,367.500,258.750,-11.250,367.500,0.000,0.000
4618,1,0,258.750,337.500,367.500,206.886,517.599,-0.481,412.959,367.981
4619,0,0,258.750,-11.250,375.000,258.750,-11.250,375.000,0.000,0.000
4620,1,0,258.750,337.500,375.000,197.711,515.747,9.753,410.979,365.247
4621,0,0,258.750,-11.250,382.500,258.750,-11.250,382.500,0.000,0.000
4622,1,0,258.750,337.500,382.500,186.944,772.960,-0.494,584.350,382.994
4623,0,0,258.750,-11.250,390.000,258.750,-11.250,390.000,0.000,0.000
4624,1,0,258.750,337.500,390.000,251.345,555.382,-0.493,447.228,390.493
4625,0,0,258.750,-11.250,397.500,258.750,-11.250,397.500,0.000,0.000
4626,1,0,258.750,337.500,397.500,236.047,516.190,9.752,427.544,387.748
4627,0,0,258.750,-11.250,405.000,258.750,-11.250,405.000,0.000,0.000
4628,1,0,258.750,337.500,405.000,256.448,526.845,-0.493,447.528,405.493
4629,0,0,258.750,-11.250,412.500,258.750,-11.250,412.500,0.000,0.000
4630,1,0,258.750,337.500,412.500,233.529,421.971,16.002,406.180,396.498
4631,0,0,258.750,-11.250,420.000,258.750,-11.250,420.000,0.000,0.000
4632,1,0,258.750,337.500,420.000,259.830,338.328,283.038,136.969,136.962
4633,0,0,258.750,-11.250,427.500,258.750,-11.250,427.500,0.000,0.000
4634,1,0,258.750,337.500,427.500,250.450,254.414,4.529,431.134,422.971
4635,0,0,258.750,-11.250,435.000,258.750,-11.250,435.000,0.000,0.000
4636,1,0,258.750,337.500,435.000,279.717,360.993,20.568,415.626,414.432
4637,0,0,258.750,-11.250,442.500,258.750,-11.250,442.500,0.000,0.000
4638,1,0,258.750,337.500,442.500,344.297,354.156,7.714,443.435,434.786
4639,0,0,258.750,-11.250,450.000,258.750,-11.250,450.000,0.000,0.000
4640,1,0,258.750,337.500,450.000,258.671,366.880,9.763,441.216,440.237
4641,0,0,258.750,-11.250,457.500,258.750,-11.250,457.500,0.000,0.000
4642,1,0,258.750,337.500,457.500,276.118,444.252,6.008,464.266,451.492
4643,0,0,371.250,-11.250,0.000,371.250,-11.250,0.000,0.000,0.000
4644,0,0,371.250,337.500,0.000,371.250,337.500,0.000,0.000,0.000
4645,0,0,371.250,-11.250,7.500,371.250,-11.250,7.500,0.000,0.000
4646,0,0,371.250,337.500,7.500,371.250,337.500,7.500,0.000,0.000
